"Plot.number","Treatment","Water.treatment","WHS","Herbivores","WTH","Year","Soil_N","Soil_Ca","Soil_Mg","Soil_K","Soil_P","Soil_Fe","Soil_Mn","Soil_Cu","Soil_Zn","Soil_B","Soil_S","Plant_C","Plant_N","Plant_P","Plant_Na","Plant_Mg","Plant_K","Plant_Ca","Plant_Mn","Plant_Fe","Plant_Cu","Plant_Zn","Plant_S","Plant_Cl","Plant_Si"
"1","3","Altered Frequency","Altered Frequency.0.2014","0","Reduced frequency -RH","2014",29.02,889.31,311.52,414.62,5.1,15.55,39.44,1.26,3.99,0.57,64.93,48.22,1.29,1778.675,633.479,1930.61,15960.82,3700.832,254.935,140.075,6.011,39.86,1776.091,7496.984,1.137
"2","1","Control","Control.0.2014","0","Ambient -RH","2014",17.07,948.82,301.47,414.92,1.83,13.13,32.36,1.27,4.61,0.66,68.77,48.01,1.1,1540.457,483.888,1461.535,14569,3200.943,160.673,129.34,5.651,49.348,1478.263,7143.328,1.232
"4","2","Reduced","Reduced.1.2014","1","Reduced amount +RH","2014",16.76,736.19,231.06,262.91,2.71,5.23,14.33,0.92,2.5,0.51,41.75,46.81,1.85,1427.922,652.762,1983.331,21632.82,3365.103,159.429,159.248,7.161,77.021,2423.526,11760.2,1.14
"5","2","Reduced","Reduced.0.2014","0","Reduced amount -RH","2014",48.04,899.2,263.6,428.68,2.44,7.12,17.71,1.55,4.61,0.32,45.45,46.1,1.9,1362.502,291.163,4593.664,28545.49,3540.293,144.686,100.689,6.936,114.446,1803.008,15051.7,1.097
"8","3","Altered Frequency","Altered Frequency.1.2014","1","Reduced frequency +RH","2014",50.24,802.75,233.88,750.59,14.38,13.62,26.99,3.54,13.7,0.42,59.8,46.01,1.41,2169.678,328.571,4238.897,28086.28,3396.628,129.714,70.789,6.256,138.938,1006.916,13283.62,1.237
"10","1","Control","Control.1.2014","1","Ambient +RH","2014",11.16,1048.58,305.61,418.23,2.53,12.28,28.44,2.25,5.78,0.27,49.32,47.03,1.58,1292.169,405.611,2855.585,23166.17,3283.814,136.68,88.247,7.74,56.894,2683.305,13429.74,1.024
"11","2","Reduced","Reduced.0.2014","0","Reduced amount -RH","2014",19.18,886.82,340.24,657.84,7.67,11.64,50.33,0.82,2.71,0.24,63.94,47.19,1.67,1814.689,529.555,2498.827,23788.9,2679.849,196.595,123.993,7.427,39.926,2506.164,11887.19,1.035
"12","1","Control","Control.1.2014","1","Ambient +RH","2014",9.46,1436.45,484.21,416.68,2.17,27.85,61.1,2.88,7.47,0.52,86.39,47.04,1.18,1492.593,472.445,2708.219,19958.09,3129.947,251.393,232.125,6.76,38.55,2696.644,9406.825,1.528
"13","3","Altered Frequency","Altered Frequency.1.2014","1","Reduced frequency +RH","2014",15.06,928.98,295.49,527.28,2.2,15.43,34.86,1.36,3.31,0.34,92.15,47.25,1.62,1322.198,558.608,2749.896,21790.83,3332,247.158,144.385,7.686,44.287,2701.693,10791.65,1.253
"16","3","Altered Frequency","Altered Frequency.0.2014","0","Reduced frequency -RH","2014",33.46,1396.59,410.15,486.8,4.78,14.89,26.64,5.32,11.27,0.78,51.04,46.77,1.46,1740.507,371.984,2658.885,25651.51,3210.241,182.125,99.451,7.563,57.231,2001.586,11849.07,1.226
